TOTAL LAP,'00:00:41.66
BEST LAP,'00:00:03.08
AVERAGE LAP,'00:00:05.20
LAP,LAP TIME,REC TIME,ST(%),TH(%),RPM,VOLT(V),TMP1(deg C),TMP2(deg C),
,,'00:00:00.28,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.29,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.30,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.31,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.32,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.33,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.34,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.35,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.36,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.37,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.38,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.39,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.40,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.41,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.42,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.43,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.44,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.45,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.46,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.47,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.48,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.49,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.50,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.51,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.52,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.53,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.54,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.55,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.56,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.57,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.58,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.59,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.60,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.61,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.62,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.63,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.64,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.65,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.66,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.67,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.68,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.69,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.70,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.71,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.72,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.73,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.74,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.75,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.76,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.77,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.78,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.79,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.80,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.81,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.82,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.83,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.84,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.85,-000,-000,00000,000.00,000.0,000.0
